Metric,Score
Accuracy,0.9824561403508771
Precision,0.9861111111111112
Recall,0.9861111111111112
F1 Score,0.9861111111111112
ROC-AUC,0.9953703703703703
CV Mean ROC-AUC,0.9953143278274297
CV Std ROC-AUC,0.005345297368904418
