model,best_alpha,test_rmse,test_r2
Ridge GridSearchCV,0.01,21.077520227946216,0.963537701351601
Lasso GridSearchCV,0.1,21.112596027450863,0.9634162441374893
Ridge RandomizedSearchCV,0.001,21.077377538258975,0.963538195031723
